geolocation_zip_code_prefix,geolocation_state,customer_state,geolocation_lat,geolocation_lng
1037,SP,São Paulo,-23.54562128,-46.63929205
1046,SP,São Paulo,-23.54608113,-46.6448203
1041,SP,São Paulo,-23.54439216,-46.63949931
1035,SP,São Paulo,-23.54157796,-46.64160722
1012,SP,São Paulo,-23.5477623,-46.63536054
1047,SP,São Paulo,-23.54627311,-46.64122517
1013,SP,São Paulo,-23.54692321,-46.6342637
1029,SP,São Paulo,-23.54376906,-46.63427784
1011,SP,São Paulo,-23.54763955,-46.63603162
1032,SP,São Paulo,-23.5384181,-46.63477838
1014,SP,São Paulo,-23.54643534,-46.63383023
1039,SP,São Paulo,-23.54188301,-46.63991947
1024,SP,São Paulo,-23.54138952,-46.62989909
1009,SP,São Paulo,-23.5469354,-46.63658793
1020,SP,São Paulo,-23.55223547,-46.62844066
1043,SP,São Paulo,-23.54665672,-46.64078762
1050,SP,São Paulo,-23.54977352,-46.64559901
1045,SP,São Paulo,-23.54159376,-46.64189379
1007,SP,São Paulo,-23.55039252,-46.63730164
1005,SP,São Paulo,-23.54981909,-46.63560589
1017,SP,São Paulo,-23.55001091,-46.63116637
1019,SP,São Paulo,-23.55215188,-46.63080225
1027,SP,São Paulo,-23.53830117,-46.63076391
1033,SP,São Paulo,-23.5403213,-46.63639482
1006,SP,São Paulo,-23.55052431,-46.63669364
1034,SP,São Paulo,-23.54239163,-46.63770928
1042,SP,São Paulo,-23.5448736,-46.64030309
1040,SP,São Paulo,-23.54031676,-46.63735537
1026,SP,São Paulo,-23.5394948,-46.63284391
1036,SP,São Paulo,-23.54170002,-46.64131782
1048,SP,São Paulo,-23.54744892,-46.64016924
1002,#N/A,#N/A,-23.54831798,-46.6354211
1031,SP,São Paulo,-23.53686412,-46.63349314
1022,SP,São Paulo,-23.54498661,-46.63345367
1008,SP,São Paulo,-23.54425493,-46.63463914
1010,SP,São Paulo,-23.54780696,-46.63612182
1003,#N/A,#N/A,-23.54903245,-46.63531311
1001,#N/A,#N/A,-23.549292,-46.63355948
1015,SP,São Paulo,-23.54482635,-46.63086956
1038,SP,São Paulo,-23.54267968,-46.63819684
1016,SP,São Paulo,-23.54849513,-46.63349063
1049,SP,São Paulo,-23.54530659,-46.63699457
1021,SP,São Paulo,-23.54516769,-46.63224868
1018,SP,São Paulo,-23.55021865,-46.63188
1044,SP,São Paulo,-23.54575105,-46.64132694
1030,SP,São Paulo,-23.5383639,-46.6329301
1025,SP,São Paulo,-23.53992094,-46.62834793
1004,#N/A,#N/A,-23.5501159,-46.63512161
1023,SP,São Paulo,-23.54260296,-46.63094284
1028,SP,São Paulo,-23.53602775,-46.63287853
1155,SP,São Paulo,-23.52878808,-46.6644042
1122,SP,São Paulo,-23.53128077,-46.63726039
1150,SP,São Paulo,-23.5322553,-46.66275607
1123,SP,São Paulo,-23.52930718,-46.63490526
1139,SP,São Paulo,-23.52076038,-46.66138414
1153,SP,São Paulo,-23.5281187,-46.65645155
1104,SP,São Paulo,-23.53521846,-46.62461223
1136,SP,São Paulo,-23.5235096,-46.66694417
1130,SP,São Paulo,-23.52663823,-46.6438097
1103,SP,São Paulo,-23.53538865,-46.63174771
1156,SP,São Paulo,-23.52982727,-46.66466606
1151,SP,São Paulo,-23.52778819,-46.66030962
1140,SP,São Paulo,-23.51793017,-46.66742959
1120,SP,São Paulo,-23.53076049,-46.63921601
1106,SP,São Paulo,-23.53249636,-46.62640566
1124,SP,São Paulo,-23.52736739,-46.63188349
1131,SP,São Paulo,-23.52164183,-46.64747555
1121,SP,São Paulo,-23.52458848,-46.63439214
1141,SP,São Paulo,-23.5201192,-46.66584
1125,SP,São Paulo,-23.5290505,-46.63889432
1102,SP,São Paulo,-23.52261022,-46.62942388
1127,SP,São Paulo,-23.52773504,-46.64480016
1137,SP,São Paulo,-23.51957274,-46.65427157
1135,SP,São Paulo,-23.52122103,-46.65296293
1138,SP,São Paulo,-23.51882541,-46.6556236
1128,SP,São Paulo,-23.52296857,-46.64174928
1109,SP,São Paulo,-23.52535537,-46.62754223
1132,SP,São Paulo,-23.5192918,-46.6498009
1108,SP,São Paulo,-23.52375958,-46.63241545
1107,SP,São Paulo,-23.5220049,-46.63397366
1154,SP,São Paulo,-23.53158118,-46.66174681
1152,SP,São Paulo,-23.52916893,-46.65214846
1134,SP,São Paulo,-23.51867681,-46.65311591
1144,SP,São Paulo,-23.52362351,-46.6720158
1129,SP,São Paulo,-23.52592375,-46.64213178
1105,SP,São Paulo,-23.53374423,-46.63063486
1126,SP,São Paulo,-23.52915073,-46.64042336
1142,SP,São Paulo,-23.51993431,-46.62513002
1133,SP,São Paulo,-23.52259111,-46.65104901
1101,SP,São Paulo,-23.53371859,-46.63327836
1189,SP,São Paulo,-23.53210826,-46.6383947
1202,SP,São Paulo,-23.5302439,-46.65091042
1230,SP,São Paulo,-23.53273473,-46.65432445
1221,SP,São Paulo,-23.54601533,-46.64900196
1217,SP,São Paulo,-23.53384477,-46.64940664
1243,SP,São Paulo,-23.54946978,-46.6550983
1203,SP,São Paulo,-23.53711938,-46.64438744
1214,SP,São Paulo,-23.53569581,-46.64141314
1257,SP,São Paulo,-23.54507217,-46.68438058
1231,SP,São Paulo,-23.53670816,-46.65964184
1216,SP,São Paulo,-23.53597286,-46.651407
1226,SP,São Paulo,-23.53447857,-46.65502762
1220,SP,São Paulo,-23.542758,-46.64547398
1223,SP,São Paulo,-23.54377252,-46.648273
1213,SP,São Paulo,-23.53640028,-46.64003759
1227,SP,São Paulo,-23.53729012,-46.6544309
1240,SP,São Paulo,-23.54378694,-46.65861209
1258,SP,São Paulo,-23.5449931,-46.68559718
1222,SP,São Paulo,-23.54715958,-46.64989461
1211,SP,São Paulo,-23.53582224,-46.65160505
1244,SP,São Paulo,-23.54499336,-46.65968022
1238,SP,São Paulo,-23.54195269,-46.65931762
1204,SP,São Paulo,-23.53680115,-46.64441627
1234,SP,São Paulo,-23.5370555,-46.66361722
1228,SP,São Paulo,-23.5483928,-46.65901834
1224,SP,São Paulo,-23.54171855,-46.64883066
1229,SP,São Paulo,-23.54108734,-46.6573392
1232,SP,São Paulo,-23.53676737,-46.65507313
1218,SP,São Paulo,-23.53154468,-46.65066867
1215,SP,São Paulo,-23.5379823,-46.64927618
1239,SP,São Paulo,-23.54878169,-46.65745981
1205,SP,São Paulo,-23.53176047,-46.64592571
1201,SP,São Paulo,-23.53435726,-46.6493563
1259,SP,São Paulo,-23.54335653,-46.68394637
1210,SP,São Paulo,-23.54086099,-46.64385528
1249,SP,São Paulo,-23.54756595,-46.66977043
1212,SP,São Paulo,-23.53751126,-46.63705731
1248,SP,São Paulo,-23.54730755,-46.66789155
1233,SP,São Paulo,-23.54029947,-46.66278361
1219,SP,São Paulo,-23.54022357,-46.64527714
1235,SP,São Paulo,-23.53645972,-46.66424679
1209,SP,São Paulo,-23.53944676,-46.63937834
1236,SP,São Paulo,-23.5416922,-46.66747263
1206,SP,São Paulo,-23.5355358,-46.64305203
1207,SP,São Paulo,-23.53684062,-46.64039304
1251,SP,São Paulo,-23.54700826,-46.67399274
1242,SP,São Paulo,-23.54752663,-46.65580327
1241,SP,São Paulo,-23.54567661,-46.65699347
1208,SP,São Paulo,-23.54082251,-46.63971471
1254,SP,São Paulo,-23.54196785,-46.68191419
1255,SP,São Paulo,-23.54578246,-46.68119826
1245,SP,São Paulo,-23.54929681,-46.66359455
1225,SP,São Paulo,-23.54064715,-46.64825178
1252,SP,São Paulo,-23.54173205,-46.67710842
1237,SP,São Paulo,-23.54431769,-46.6698228
1200,SP,São Paulo,-23.53156777,-46.64986908
1250,SP,São Paulo,-23.54810634,-46.67255084
1247,SP,São Paulo,-23.55134173,-46.66937701
1246,SP,São Paulo,-23.55259069,-46.66640488
1262,SP,São Paulo,-23.55085639,-46.67735185
1253,SP,São Paulo,-23.54320797,-46.6802447
1290,SP,São Paulo,-23.54096134,-46.6577487
1256,SP,São Paulo,-23.54856754,-46.68329305
1303,SP,São Paulo,-23.55001133,-46.64818241
1309,SP,São Paulo,-23.55732369,-46.65692891
1310,SP,São Paulo,-23.55692691,-46.66154179
1323,SP,São Paulo,-23.56360093,-46.64096892
1321,SP,São Paulo,-23.55896104,-46.64089189
1333,SP,São Paulo,-23.56356994,-46.65184217
1314,SP,São Paulo,-23.55027122,-46.64153043
1331,SP,São Paulo,-23.56232752,-46.65032774
1307,SP,São Paulo,-23.5493607,-46.65412442
